p: 0.000000 0.000000 -5.000000
co->n: 0.000000 1.000000 0.000000
ph: -0.795501 0.104591 1.470252, result: 0.104591
ph: -0.787794 0.112776 1.469036, result: 0.112776
ph: -0.780075 0.120922 1.467826, result: 0.120922
ph: -0.772345 0.129027 1.466622, result: 0.129027
ph: -0.764601 0.137092 1.465423, result: 0.137092
ph: -0.756845 0.145117 1.464231, result: 0.145117
ph: -0.749075 0.153100 1.463045, result: 0.153100
ph: -0.741291 0.161042 1.461865, result: 0.161042
ph: -0.733492 0.168943 1.460691, result: 0.168943
ph: -0.725678 0.176802 1.459523, result: 0.176802
ph: -0.717848 0.184618 1.458362, result: 0.184618
ph: -0.710002 0.192391 1.457207, result: 0.192391
ph: -0.702140 0.200122 1.456058, result: 0.200122
ph: -0.694259 0.207809 1.454916, result: 0.207809
ph: -0.686361 0.215452 1.453781, result: 0.215452
ph: -0.678444 0.223050 1.452652, result: 0.223050
